player_name_raw,season,league,team,age,games,games_started,minutes,field_goals,field_goal_attempts,fg_pct,three_pointers,three_point_attempts,three_pct,two_pointers,two_point_attempts,two_pct,efg_pct,free_throws,free_throw_attempts,ft_pct,offensive_rebounds,defensive_rebounds,rebounds,assists,steals,blocks,turnovers,personal_fouls,points,source,official_stats_url,accessed_date
Ryan Arcidiacono,2023-2024,NBA G League,WCB,29,11,10,334,41,98,.418,19,63,.302,22,35,.629,.515,14,17,.824,6,27,33,59,21,3,21,31,127,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Adonis Arms,2023-2024,NBA G League,MHU,,28,20,849,172,378,.455,68,175,.389,104,203,.512,.545,51,67,.761,32,143,175,96,25,19,68,53,503,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Chase Audige,2023-2024,NBA G League,TOT,24,17,1,199,30,83,.361,10,35,.286,20,48,.417,.422,8,12,.667,7,42,49,12,10,2,12,25,82,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Luke Avdalovic,2023-2024,NBA G League,AUS,,27,0,222,31,82,.378,28,70,.400,3,12,.250,.549,4,7,.571,5,42,47,12,4,2,7,10,98,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Marcus Bagley,2023-2024,NBA G League,DEL,22,16,2,358,46,125,.368,20,66,.303,26,59,.441,.448,11,20,.550,19,66,85,11,11,6,14,44,134,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Amari Bailey,2023-2024,NBA G League,GBO,19,23,22,750,173,386,.448,37,88,.420,136,298,.456,.496,39,57,.684,34,78,112,112,30,17,75,36,444,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Joey Baker,2023-2024,NBA G League,GRG,23,9,1,121,15,38,.395,7,26,.269,8,12,.667,.487,2,2,1.000,3,10,13,4,2,1,4,16,41,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Robert Baker,2023-2024,NBA G League,CPS,,29,18,818,161,357,.451,52,153,.340,109,204,.534,.524,32,41,.780,48,136,184,64,20,24,60,82,427,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Patrick Baldwin Jr.,2023-2024,NBA G League,CCG,21,7,7,175,38,64,.594,8,26,.308,30,38,.789,.656,6,11,.545,6,43,49,18,5,8,9,26,94,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
James Banks III,2023-2024,NBA G League,MNE,26,30,10,644,71,132,.538,0,0,,71,132,.538,.538,13,28,.464,77,86,163,42,19,53,35,85,164,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Dalano Banton,2023-2024,NBA G League,MNE,24,2,2,70,20,46,.435,7,21,.333,13,25,.520,.511,9,14,.643,0,11,11,8,4,3,5,3,59,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
