new_rank,player_name_raw,player_name_key,season,league,team,source,recommendation_score,score_component_pathway,score_component_performance,score_component_context,score_component_completeness,reason_summary,games,minutes_per_game,points_per_36,usage_proxy,ts_pct,fg_pct,three_pct,ft_pct,height,weight,age,official_player_url,official_stats_url,youtube_search_url,google_video_search_url,video_search_query,data_quality_warning,basketball_reference_search_url,league_official_search_url,rank,score,recommendation_season
21,Dalano Banton,dalanobanton,2025-2026,G League,TEX,pasted_stats_table,1.979243828836985,1.0,0.7848642042368278,0.0,0.5,common CBA source league/pathway; strong scoring per 36; high usage proxy,30,33.233333333333334,27.1,0.7641111111111111,0.5715370339126034,0.425,0.302,0.774,,,26.0,,,https://www.youtube.com/results?search_query=Dalano+Banton+G+League+basketball+highlights,https://www.google.com/search?tbm=vid&q=Dalano+Banton+G+League+basketball+highlights,Dalano Banton G League basketball highlights,,https://www.google.com/search?q=site%3Abasketball-reference.com+%22Dalano+Banton%22+basketball,https://www.google.com/search?q=%22Dalano+Banton%22+%22G+League%22+official+basketball+stats,21,1.979243828836985,2025-2026
22,Omer Yurtseven,omeryurtseven,2025-2026,G League,RGV,pasted_stats_table,1.977809199408534,1.0,0.8123479087452472,0.0,0.5,common CBA source league/pathway; strong scoring per 36; high usage proxy; efficient scoring profile,3,29.666666666666668,27.9,0.666888888888889,0.6338604143947655,0.569,0.0,0.875,,,27.0,,,https://www.youtube.com/results?search_query=Omer+Yurtseven+G+League+basketball+highlights,https://www.google.com/search?tbm=vid&q=Omer+Yurtseven+G+League+basketball+highlights,Omer Yurtseven G League basketball highlights,,https://www.google.com/search?q=site%3Abasketball-reference.com+%22Omer+Yurtseven%22+basketball,https://www.google.com/search?q=%22Omer+Yurtseven%22+%22G+League%22+official+basketball+stats,22,1.977809199408534,2025-2026
23,Isaiah Moore,isaiahmoore,2025-2026,G League,WCB,pasted_stats_table,1.9660459578127831,1.0,0.6665838312511317,0.0,0.444,common CBA source league/pathway; strong scoring per 36; high usage proxy; efficient scoring profile; data warning: low_performance_stat_coverage,2,4.0,31.5,0.5,0.875,0.75,1.0,,,,25.0,,,https://www.youtube.com/results?search_query=Isaiah+Moore+G+League+basketball+highlights,https://www.google.com/search?tbm=vid&q=Isaiah+Moore+G+League+basketball+highlights,Isaiah Moore G League basketball highlights,low_performance_stat_coverage,https://www.google.com/search?q=site%3Abasketball-reference.com+%22Isaiah+Moore%22+basketball,https://www.google.com/search?q=%22Isaiah+Moore%22+%22G+League%22+official+basketball+stats,23,1.9660459578127831,2025-2026
24,Sean Pedulla,seanpedulla,2025-2026,G League,TOT,pasted_stats_table,1.9659902981471422,1.0,0.8191834148107912,0.0,0.5,common CBA source league/pathway; strong scoring per 36; high usage proxy; efficient scoring profile,28,31.964285714285715,26.6,0.7167777777777777,0.6099798202164741,0.444,0.369,0.845,,,23.0,,,https://www.youtube.com/results?search_query=Sean+Pedulla+G+League+basketball+highlights,https://www.google.com/search?tbm=vid&q=Sean+Pedulla+G+League+basketball+highlights,Sean Pedulla G League basketball highlights,,https://www.google.com/search?q=site%3Abasketball-reference.com+%22Sean+Pedulla%22+basketball,https://www.google.com/search?q=%22Sean+Pedulla%22+%22G+League%22+official+basketball+stats,24,1.9659902981471422,2025-2026
25,Caleb Love,caleblove,2025-2026,G League,RIP,pasted_stats_table,1.9534374886836865,1.0,0.7600832880680789,0.0,0.5,common CBA source league/pathway; strong scoring per 36; high usage proxy,10,34.3,25.9,0.7816666666666667,0.5320460147904683,0.433,0.235,0.758,,,,,,https://www.youtube.com/results?search_query=Caleb+Love+G+League+basketball+highlights,https://www.google.com/search?tbm=vid&q=Caleb+Love+G+League+basketball+highlights,Caleb Love G League basketball highlights,,https://www.google.com/search?q=site%3Abasketball-reference.com+%22Caleb+Love%22+basketball,https://www.google.com/search?q=%22Caleb+Love%22+%22G+League%22+official+basketball+stats,25,1.9534374886836865,2025-2026
26,Lester Quinones,lesterquinones,2025-2026,G League,OSC,pasted_stats_table,1.9507185104713622,1.0,0.8673184863298933,0.0,0.5,common CBA source league/pathway; strong scoring per 36; high usage proxy; efficient scoring profile,36,31.63888888888889,26.5,0.6155555555555555,0.6739572736520855,0.477,0.41,0.841,,,,,,https://www.youtube.com/results?search_query=Lester+Quinones+G+League+basketball+highlights,https://www.google.com/search?tbm=vid&q=Lester+Quinones+G+League+basketball+highlights,Lester Quinones G League basketball highlights,,https://www.google.com/search?q=site%3Abasketball-reference.com+%22Lester+Quinones%22+basketball,https://www.google.com/search?q=%22Lester+Quinones%22+%22G+League%22+official+basketball+stats,26,1.9507185104713622,2025-2026
27,Keon Johnson,keonjohnson,2025-2026,G League,MNE,pasted_stats_table,1.9503351137666727,1.0,0.7207848995111352,0.0,0.5,common CBA source league/pathway; strong scoring per 36; high usage proxy; efficient scoring profile,11,23.09090909090909,26.8,0.7365555555555555,0.6031688872884409,0.416,0.263,0.8,,,23.0,,,https://www.youtube.com/results?search_query=Keon+Johnson+G+League+basketball+highlights,https://www.google.com/search?tbm=vid&q=Keon+Johnson+G+League+basketball+highlights,Keon Johnson G League basketball highlights,,https://www.google.com/search?q=site%3Abasketball-reference.com+%22Keon+Johnson%22+basketball,https://www.google.com/search?q=%22Keon+Johnson%22+%22G+League%22+official+basketball+stats,27,1.9503351137666727,2025-2026
28,Jaelen House,jaelenhouse,2025-2026,G League,SDC,pasted_stats_table,1.9453744945379927,1.0,0.7726090892630817,0.0,0.5,common CBA source league/pathway; strong scoring per 36; high usage proxy; efficient scoring profile,22,28.59090909090909,26.4,0.6968888888888889,0.6114508060033351,0.441,0.363,0.844,,,,,,https://www.youtube.com/results?search_query=Jaelen+House+G+League+basketball+highlights,https://www.google.com/search?tbm=vid&q=Jaelen+House+G+League+basketball+highlights,Jaelen House G League basketball highlights,,https://www.google.com/search?q=site%3Abasketball-reference.com+%22Jaelen+House%22+basketball,https://www.google.com/search?q=%22Jaelen+House%22+%22G+League%22+official+basketball+stats,28,1.9453744945379927,2025-2026
29,Tristen Newton,tristennewton,2025-2026,G League,TOT,pasted_stats_table,1.937620133985153,1.0,0.9091472026072787,0.0,0.5,common CBA source league/pathway; strong scoring per 36; high usage proxy; efficient scoring profile,35,36.2,25.5,0.6013333333333333,0.6764643463497454,0.482,0.378,0.859,,,,,,https://www.youtube.com/results?search_query=Tristen+Newton+G+League+basketball+highlights,https://www.google.com/search?tbm=vid&q=Tristen+Newton+G+League+basketball+highlights,Tristen Newton G League basketball highlights,,https://www.google.com/search?q=site%3Abasketball-reference.com+%22Tristen+Newton%22+basketball,https://www.google.com/search?q=%22Tristen+Newton%22+%22G+League%22+official+basketball+stats,29,1.937620133985153,2025-2026
30,JD Davison,jddavison,2025-2026,G League,RGV,pasted_stats_table,1.9359015480717001,1.0,0.842939525620134,0.0,0.5,common CBA source league/pathway; strong scoring per 36; high usage proxy; efficient scoring profile,5,35.6,25.5,0.6606666666666666,0.6076057948913458,0.5,0.29,0.667,,,,,,https://www.youtube.com/results?search_query=JD+Davison+G+League+basketball+highlights,https://www.google.com/search?tbm=vid&q=JD+Davison+G+League+basketball+highlights,JD Davison G League basketball highlights,,https://www.google.com/search?q=site%3Abasketball-reference.com+%22JD+Davison%22+basketball,https://www.google.com/search?q=%22JD+Davison%22+%22G+League%22+official+basketball+stats,30,1.9359015480717001,2025-2026
31,Isaac Jones,isaacjones,2025-2026,G League,MCC,pasted_stats_table,1.9340354728710243,1.0,0.848364113706319,0.0,0.5,common CBA source league/pathway; strong scoring per 36; high usage proxy; efficient scoring profile,29,30.03448275862069,26.7,0.5517777777777778,0.7515199279441567,0.623,0.231,0.728,,,,,,https://www.youtube.com/results?search_query=Isaac+Jones+G+League+basketball+highlights,https://www.google.com/search?tbm=vid&q=Isaac+Jones+G+League+basketball+highlights,Isaac Jones G League basketball highlights,,https://www.google.com/search?q=site%3Abasketball-reference.com+%22Isaac+Jones%22+basketball,https://www.google.com/search?q=%22Isaac+Jones%22+%22G+League%22+official+basketball+stats,31,1.9340354728710243,2025-2026
32,Jahmir Young,jahmiryoung,2025-2026,G League,SXF,pasted_stats_table,1.928467197778985,1.0,0.8519799022270504,0.0,0.5,common CBA source league/pathway; strong scoring per 36; high usage proxy; efficient scoring profile,25,37.2,25.1,0.6538888888888889,0.6110029211295035,0.471,0.374,0.813,,,25.0,,,https://www.youtube.com/results?search_query=Jahmir+Young+G+League+basketball+highlights,https://www.google.com/search?tbm=vid&q=Jahmir+Young+G+League+basketball+highlights,Jahmir Young G League basketball highlights,,https://www.google.com/search?q=site%3Abasketball-reference.com+%22Jahmir+Young%22+basketball,https://www.google.com/search?q=%22Jahmir+Young%22+%22G+League%22+official+basketball+stats,32,1.928467197778985,2025-2026
